sale_id,date,medicine_name,quantity_sold,price_per_unit,total_amount,city,store_id
1,2025-01-18,Losartan,3,134.98,404.94,Chennai,1007
2,2025-03-02,Azithromycin,7,55.99,391.93,Delhi,1006
3,2025-02-25,Losartan,1,350.96,350.96,Bangalore,1003
4,2025-03-17,Ibuprofen,11,24.99,274.89,Delhi,1010
5,2025-03-11,Paracetamol,13,346.38,4502.94,Chennai,1000
6,2025-03-09,Cetirizine,15,470.19,7052.85,Hyderabad,1003
7,2025-02-14,Cetirizine,8,382.86,3062.88,Bangalore,1000
8,2025-02-23,Omeprazole,4,101.09,404.36,Pune,1004
9,2025-01-16,Aspirin,17,468.86,7970.62,Chennai,1008
10,2025-03-27,Cetirizine,10,149.24,1492.4,Chennai,1008
11,2025-02-20,Losartan,2,245.31,490.62,Pune,1006
12,2025-02-23,Amoxicillin,12,278.91,3346.92,Pune,1010
13,2025-02-17,Ibuprofen,15,335.24,5028.6,Delhi,1002
14,2025-03-08,Azithromycin,12,249.95,2999.4,Delhi,1007
15,2025-01-06,Metformin,20,300.66,6013.2,Chennai,1010
16,2025-01-22,Amoxicillin,17,121.2,2060.4,Delhi,1003
17,2025-03-11,Omeprazole,8,208.18,1665.44,Bangalore,1009
18,2025-02-15,Atorvastatin,9,333.02,2997.18,Hyderabad,1000
19,2025-02-19,Omeprazole,5,264.15,1320.75,Hyderabad,1003
20,2025-02-24,Paracetamol,16,436.3,6980.8,Hyderabad,1008
21,2025-01-26,Omeprazole,14,247.61,3466.54,Bangalore,1006
22,2025-02-14,Paracetamol,18,274.65,4943.7,Hyderabad,1005
23,2025-02-28,Losartan,1,404.24,404.24,Pune,1002
24,2025-03-12,Losartan,6,431.89,2591.34,Hyderabad,1004
25,2025-01-05,Ibuprofen,3,435.36,1306.08,Chennai,1000
26,2025-02-05,Cetirizine,9,63.65,572.85,Hyderabad,1002
27,2025-02-14,Metformin,3,92.06,276.18,Bangalore,1008
28,2025-01-22,Metformin,10,232.8,2328.0,Bangalore,1007
29,2025-03-02,Ibuprofen,1,162.88,162.88,Bangalore,1006
30,2025-01-25,Metformin,4,134.19,536.76,Pune,1008
31,2025-01-27,Losartan,14,410.35,5744.9,Delhi,1003
32,2025-01-03,Azithromycin,5,27.31,136.55,Mumbai,1007
33,2025-04-01,Omeprazole,14,276.9,3876.6,Mumbai,1010
34,2025-03-30,Omeprazole,15,119.37,1790.55,Pune,1000
35,2025-02-20,Losartan,11,333.31,3666.41,Chennai,1000
36,2025-02-08,Amoxicillin,7,439.01,3073.07,Bangalore,1001
37,2025-01-10,Metformin,10,374.48,3744.8,Chennai,1009
38,2025-02-02,Amoxicillin,1,284.75,284.75,Delhi,1009
39,2025-01-28,Losartan,15,94.04,1410.6,Pune,1009
40,2025-03-07,Paracetamol,13,108.2,1406.6,Delhi,1003
41,2025-03-15,Azithromycin,19,105.12,1997.28,Delhi,1010
42,2025-02-19,Metformin,17,254.9,4333.3,Bangalore,1009
